command= python3 -u /u/zjian1/ASTZ/py_code/generate_stencil_list.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin' -c '/u/zjian1/ASTZ/stencil_list/5.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 5.0e-02 -3 44 494 518 -M FHDE 9 
Available threads: 16
Set threads to: 8
data_min:-1672.849365234375, data_max:14206.283203125
stencil=251, total_loss=0.00028868065959409406, total_rmsqb=0.3369817721548242
stencil=261, total_loss=0.00028862197844622034, total_rmsqb=0.3369475206704337
[44, 124, 9]
stencil=131, total_loss=0.00032771334704691474, total_rmsqb=0.37793840414942326
[22, 62, 5]
stencil=411, total_loss=0.00015247621367077107, total_rmsqb=0.27136348264140986
stencil=412, total_loss=0.00016196328596990617, total_rmsqb=0.2796782184358035
stencil=413, total_loss=0.00019938022386832316, total_rmsqb=0.310306872701395
stencil=421, total_loss=0.00023022597473640062, total_rmsqb=0.3334475378854829
stencil=422, total_loss=0.00027907189393755005, total_rmsqb=0.36712030433524506
stencil=423, total_loss=0.00024698574407676843, total_rmsqb=0.3453713420369428
stencil=431, total_loss=0.00021876556831493713, total_rmsqb=0.32504226780040235
[22, 62, 3]
stencil=411, total_loss=0.00025059674343053443, total_rmsqb=0.36619672924891533
stencil=412, total_loss=0.00016997930308763976, total_rmsqb=0.3015954405580669
stencil=413, total_loss=0.00021133801335247404, total_rmsqb=0.33629124406428873
stencil=421, total_loss=0.00023812769450602767, total_rmsqb=0.35696998678768455
stencil=422, total_loss=0.00023640497807982835, total_rmsqb=0.35567640705677983
stencil=423, total_loss=0.0002548590723240155, total_rmsqb=0.36929786638183204
stencil=431, total_loss=0.00023128548890700136, total_rmsqb=0.35180413709953856
[22, 31, 3]
stencil=411, total_loss=0.00027539760827325114, total_rmsqb=0.4040947669842877
stencil=412, total_loss=0.00015592655862670346, total_rmsqb=0.3040627305246144
stencil=413, total_loss=0.00021164130828586796, total_rmsqb=0.35424470138510117
stencil=421, total_loss=0.0003699842036939135, total_rmsqb=0.4683761101608083
stencil=422, total_loss=0.00023583486806294157, total_rmsqb=0.37394450184103617
stencil=423, total_loss=0.0002973509227963585, total_rmsqb=0.4198921829753473
stencil=431, total_loss=0.0002441611086872171, total_rmsqb=0.3804883715264879
[22, 16, 3]
stencil=411, total_loss=0.00031446888210387203, total_rmsqb=0.45453609588079014
stencil=412, total_loss=0.00025892386052492404, total_rmsqb=0.41244455621719567
stencil=413, total_loss=0.00020979873640706922, total_rmsqb=0.37126240447402925
stencil=421, total_loss=0.00024389147536078496, total_rmsqb=0.4002928652588179
stencil=422, total_loss=0.0002312749735455015, total_rmsqb=0.38980181678269327
stencil=423, total_loss=0.0002468285887543835, total_rmsqb=0.4026959566739574
stencil=431, total_loss=0.0003165653647100172, total_rmsqb=0.4560487162318016
[11, 16, 3]
stencil=411, total_loss=0.00029421962060771146, total_rmsqb=0.4627982938771023
stencil=412, total_loss=0.00022266609249291597, total_rmsqb=0.40260853522501283
stencil=413, total_loss=0.0002558885551080471, total_rmsqb=0.43159992912289685
stencil=421, total_loss=0.00026693962076131036, total_rmsqb=0.44082118049079666
stencil=422, total_loss=0.0003020659258419817, total_rmsqb=0.4689286879669953
stencil=423, total_loss=0.00031111290787949283, total_rmsqb=0.4758991714888597
stencil=431, total_loss=0.00021733857528136595, total_rmsqb=0.39776296251931836
[11, 16, 3]
stencil=241, total_loss=0.00032212052494287493, total_rmsqb=0.5097315643797364
stencil=242, total_loss=0.00023133776017597745, total_rmsqb=0.4319719944326748
stencil=243, total_loss=0.0003542336776401057, total_rmsqb=0.5345363605391551
[11, 8, 3]
stencil=222, total_loss=0.0003107693822433551, total_rmsqb=0.527020896391353
stencil=252, total_loss=0.00014251284301280975, total_rmsqb=0.3568911059583634
stencil=262, total_loss=0.0002978334354387747, total_rmsqb=0.5159355441679937
[11, 4, 3]
stencil=222, total_loss=0.0002685322293213436, total_rmsqb=0.5156836076830247
stencil=252, total_loss=0.0002081603277474642, total_rmsqb=0.45402952906270605
stencil=262, total_loss=0.00011195002589374781, total_rmsqb=0.3329639515294414
[11, 4, 3]
stencil=131, total_loss=4.282834495163777e-05, total_rmsqb=0.216783966587884
[6, 2, 2]
stencil=411, total_loss=7.61272191690902e-05, total_rmsqb=0.30423409995069445
stencil=412, total_loss=6.38392779769169e-05, total_rmsqb=0.2786004993379205
stencil=413, total_loss=4.958694787799484e-05, total_rmsqb=0.2455396294919042
stencil=421, total_loss=3.2072054455056784e-05, total_rmsqb=0.1974700779235643
stencil=422, total_loss=4.5179048902355136e-05, total_rmsqb=0.23437239027110365
stencil=423, total_loss=6.229550344869495e-05, total_rmsqb=0.27521129711005016
stencil=431, total_loss=1.4089311166158454e-05, total_rmsqb=0.1308828633577891
[6, 2, 2]
stencil=241, total_loss=5.743398913990758e-07, total_rmsqb=0.02781626356988824
stencil=242, total_loss=1.859259080245263e-05, total_rmsqb=0.15826477239723125
stencil=243, total_loss=8.471235762246781e-07, total_rmsqb=0.03378218114185831
[6, 2, 1]
stencil=123, total_loss=6.7561526190150865e-06, total_rmsqb=0.10042467211355169
[3, 1, 1]
stencil=113, total_loss=3.6427892544972044e-06, total_rmsqb=0.07762187242956016
[2, 1, 1]
stencil=113, total_loss=4.7506559245188586e-07, total_rmsqb=0.029506675092014687
[1, 1, 1]
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_000.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_000.bin_2.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/2.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 2.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1749.0985107421875, data_max:14723.8212890625
torch.Size([1, 1, 11, 8, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 22, 16, 3])
torch.Size([1, 1, 22, 31, 3])
torch.Size([1, 1, 22, 62, 3])
torch.Size([1, 1, 22, 62, 5])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 17])
torch.Size([1, 1, 44, 124, 33])
torch.Size([1, 1, 44, 124, 65])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 494, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 30.765
Zstd CR= 4.061
[31mTotal CR= 124.928 [0m
qb_min= -10, qb_max= 28
max_err= 329.45751953125
max_rel_err= 0.020
[31mpsnr= 42.587 [0m
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_001.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_001.bin_2.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/2.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 2.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1734.5491943359375, data_max:14580.9970703125
torch.Size([1, 1, 11, 8, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 22, 16, 3])
torch.Size([1, 1, 22, 31, 3])
torch.Size([1, 1, 22, 62, 3])
torch.Size([1, 1, 22, 62, 5])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 17])
torch.Size([1, 1, 44, 124, 33])
torch.Size([1, 1, 44, 124, 65])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 494, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 30.574
Zstd CR= 3.668
[31mTotal CR= 112.136 [0m
qb_min= -10, qb_max= 33
max_err= 326.310546875
max_rel_err= 0.020
[31mpsnr= 42.269 [0m
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_002.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_002.bin_2.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/2.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 2.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1721.9188232421875, data_max:14520.7705078125
torch.Size([1, 1, 11, 8, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 22, 16, 3])
torch.Size([1, 1, 22, 31, 3])
torch.Size([1, 1, 22, 62, 3])
torch.Size([1, 1, 22, 62, 5])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 17])
torch.Size([1, 1, 44, 124, 33])
torch.Size([1, 1, 44, 124, 65])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 494, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 30.587
Zstd CR= 3.639
[31mTotal CR= 111.309 [0m
qb_min= -10, qb_max= 37
max_err= 324.853515625
max_rel_err= 0.020
[31mpsnr= 42.171 [0m
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_010.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_010.bin_2.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/2.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 2.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1578.50439453125, data_max:7738.2421875
torch.Size([1, 1, 11, 8, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 22, 16, 3])
torch.Size([1, 1, 22, 31, 3])
torch.Size([1, 1, 22, 62, 3])
torch.Size([1, 1, 22, 62, 5])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 17])
torch.Size([1, 1, 44, 124, 33])
torch.Size([1, 1, 44, 124, 65])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 494, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 30.493
Zstd CR= 3.497
[31mTotal CR= 106.620 [0m
qb_min= -6, qb_max= 24
max_err= 186.334716796875
max_rel_err= 0.020
[31mpsnr= 42.098 [0m
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_011.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_011.bin_2.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/2.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 2.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1572.1063232421875, data_max:9327.484375
torch.Size([1, 1, 11, 8, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 22, 16, 3])
torch.Size([1, 1, 22, 31, 3])
torch.Size([1, 1, 22, 62, 3])
torch.Size([1, 1, 22, 62, 5])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 17])
torch.Size([1, 1, 44, 124, 33])
torch.Size([1, 1, 44, 124, 65])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 494, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 30.666
Zstd CR= 3.825
[31mTotal CR= 117.296 [0m
qb_min= -5, qb_max= 21
max_err= 217.99169921875
max_rel_err= 0.020
[31mpsnr= 42.434 [0m
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_012.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_012.bin_2.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/2.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 2.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1596.585693359375, data_max:13839.8046875
torch.Size([1, 1, 11, 8, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 22, 16, 3])
torch.Size([1, 1, 22, 31, 3])
torch.Size([1, 1, 22, 62, 3])
torch.Size([1, 1, 22, 62, 5])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 17])
torch.Size([1, 1, 44, 124, 33])
torch.Size([1, 1, 44, 124, 65])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 494, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 31.558
Zstd CR= 8.521
[31mTotal CR= 268.911 [0m
qb_min= -4, qb_max= 21
max_err= 308.7275390625
max_rel_err= 0.020
[31mpsnr= 44.106 [0m
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_020.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_020.bin_2.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/2.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 2.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1650.6396484375, data_max:14129.0322265625
torch.Size([1, 1, 11, 8, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 22, 16, 3])
torch.Size([1, 1, 22, 31, 3])
torch.Size([1, 1, 22, 62, 3])
torch.Size([1, 1, 22, 62, 5])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 17])
torch.Size([1, 1, 44, 124, 33])
torch.Size([1, 1, 44, 124, 65])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 494, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 31.330
Zstd CR= 6.604
[31mTotal CR= 206.908 [0m
qb_min= -9, qb_max= 25
max_err= 315.593017578125
max_rel_err= 0.020
[31mpsnr= 43.617 [0m
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_021.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_021.bin_2.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/2.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 2.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1643.451904296875, data_max:14422.6708984375
torch.Size([1, 1, 11, 8, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 22, 16, 3])
torch.Size([1, 1, 22, 31, 3])
torch.Size([1, 1, 22, 62, 3])
torch.Size([1, 1, 22, 62, 5])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 17])
torch.Size([1, 1, 44, 124, 33])
torch.Size([1, 1, 44, 124, 65])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 494, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 31.390
Zstd CR= 7.122
[31mTotal CR= 223.552 [0m
qb_min= -5, qb_max= 19
max_err= 321.322265625
max_rel_err= 0.020
[31mpsnr= 43.686 [0m
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_022.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_022.bin_2.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/2.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 2.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1584.2459716796875, data_max:12948.6181640625
torch.Size([1, 1, 11, 8, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 22, 16, 3])
torch.Size([1, 1, 22, 31, 3])
torch.Size([1, 1, 22, 62, 3])
torch.Size([1, 1, 22, 62, 5])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 17])
torch.Size([1, 1, 44, 124, 33])
torch.Size([1, 1, 44, 124, 65])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 494, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 31.121
Zstd CR= 5.412
[31mTotal CR= 168.436 [0m
qb_min= -7, qb_max= 25
max_err= 290.656982421875
max_rel_err= 0.020
[31mpsnr= 43.158 [0m
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_100.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_100.bin_2.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/2.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 2.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1695.33984375, data_max:14731.93359375
torch.Size([1, 1, 11, 8, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 22, 16, 3])
torch.Size([1, 1, 22, 31, 3])
torch.Size([1, 1, 22, 62, 3])
torch.Size([1, 1, 22, 62, 5])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 17])
torch.Size([1, 1, 44, 124, 33])
torch.Size([1, 1, 44, 124, 65])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 494, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 30.703
Zstd CR= 3.912
[31mTotal CR= 120.115 [0m
qb_min= -11, qb_max= 35
max_err= 328.545166015625
max_rel_err= 0.020
[31mpsnr= 42.624 [0m
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_101.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_101.bin_2.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/2.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 2.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1737.26171875, data_max:14576.845703125
torch.Size([1, 1, 11, 8, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 22, 16, 3])
torch.Size([1, 1, 22, 31, 3])
torch.Size([1, 1, 22, 62, 3])
torch.Size([1, 1, 22, 62, 5])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 17])
torch.Size([1, 1, 44, 124, 33])
torch.Size([1, 1, 44, 124, 65])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 494, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 30.495
Zstd CR= 3.574
[31mTotal CR= 108.976 [0m
qb_min= -11, qb_max= 38
max_err= 326.281982421875
max_rel_err= 0.020
[31mpsnr= 42.295 [0m
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_102.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_102.bin_2.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/2.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 2.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1689.1220703125, data_max:14534.9326171875
torch.Size([1, 1, 11, 8, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 22, 16, 3])
torch.Size([1, 1, 22, 31, 3])
torch.Size([1, 1, 22, 62, 3])
torch.Size([1, 1, 22, 62, 5])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 17])
torch.Size([1, 1, 44, 124, 33])
torch.Size([1, 1, 44, 124, 65])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 494, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 30.531
Zstd CR= 3.522
[31mTotal CR= 107.528 [0m
qb_min= -11, qb_max= 34
max_err= 324.48046875
max_rel_err= 0.020
[31mpsnr= 42.216 [0m
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_110.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_110.bin_2.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/2.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 2.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1596.572509765625, data_max:14680.1064453125
torch.Size([1, 1, 11, 8, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 22, 16, 3])
torch.Size([1, 1, 22, 31, 3])
torch.Size([1, 1, 22, 62, 3])
torch.Size([1, 1, 22, 62, 5])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 17])
torch.Size([1, 1, 44, 124, 33])
torch.Size([1, 1, 44, 124, 65])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 494, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 31.721
Zstd CR= 12.556
[31mTotal CR= 398.283 [0m
qb_min= -3, qb_max= 23
max_err= 325.52978515625
max_rel_err= 0.020
[31mpsnr= 45.255 [0m
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin_2.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/2.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 2.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1672.849365234375, data_max:14206.283203125
torch.Size([1, 1, 11, 8, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 11, 16, 3])
torch.Size([1, 1, 22, 16, 3])
torch.Size([1, 1, 22, 31, 3])
torch.Size([1, 1, 22, 62, 3])
torch.Size([1, 1, 22, 62, 5])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 9])
torch.Size([1, 1, 44, 124, 17])
torch.Size([1, 1, 44, 124, 33])
torch.Size([1, 1, 44, 124, 65])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 494, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 31.591
Zstd CR= 9.175
[31mTotal CR= 289.836 [0m
qb_min= -4, qb_max= 21
max_err= 317.5823974609375
max_rel_err= 0.020
[31mpsnr= 44.489 [0m
